YYYY DOY HR MN     1
2017 196  0  0    0.67
2017 196  3  0    1.00
2017 196  6  0    0.67
2017 196  9  0    0.33
2017 196 12  0    0.33
2017 196 15  0    0.67
2017 196 18  0    0.67
2017 196 21  0    1.00
2017 197  0  0    2.00
2017 197  3  0    1.00
2017 197  6  0    4.67
2017 197  9  0    5.33
2017 197 12  0    5.67
2017 197 15  0    5.33
2017 197 18  0    6.00
2017 197 21  0    4.67
2017 198  0  0    3.00
2017 198  3  0    4.33
2017 198  6  0    4.00
2017 198  9  0    4.00
2017 198 12  0    4.33
2017 198 15  0    5.67
2017 198 18  0    1.67
2017 198 21  0    1.67
2017 199  0  0    2.33
2017 199  3  0    3.00
2017 199  6  0    1.67
2017 199  9  0    1.00
2017 199 12  0    1.00
2017 199 15  0    0.67
2017 199 18  0    0.33
2017 199 21  0    1.33
