Selected parameters:
 1 BZ, nT (GSM)
 2 Speed, km/s
 3 Proton Density, n/cc
 4 Flow pressure, nPa
 5 SYM/D, nT

YYYY DOY HR MN      1       2      3     4     5 
2017 110  0  0   -6.76   453.1  19.69  8.08     3
2017 110  0  1   -9.07   456.9  21.04  8.78     3
2017 110  0  2   -4.64   465.8  25.83 11.21     4
2017 110  0  3   -0.02   465.8  24.74 10.74     4
2017 110  0  4   -0.13 99999.9 999.99 99.99     4
2017 110  0  5    0.46   448.8  15.57  6.27     4
2017 110  0  6    0.71   448.2  16.32  6.56     4
2017 110  0  7    0.87   446.6  16.32  6.51     4
2017 110  0  8    1.08 99999.9 999.99 99.99     4
2017 110  0  9    1.03   445.7  17.26  6.86     4
2017 110  0 10    0.56   445.4  18.15  7.20     3
2017 110  0 11    5.22   445.3  18.37  7.29     3
2017 110  0 12    3.60   442.0  16.23  6.34     3
2017 110  0 13    3.83   449.4  14.51  5.86     2
2017 110  0 14    4.23   450.8  13.90  5.65     2
2017 110  0 15   -0.94   451.1  16.23  6.61     2
2017 110  0 16    0.47   452.7  14.56  5.97     1
2017 110  0 17   -0.08   452.3  13.97  5.72     1
2017 110  0 18    0.68   446.7  14.22  5.67     1
2017 110  0 19    0.14   451.6  13.55  5.53     1
2017 110  0 20    2.22   457.1  14.16  5.92     1
2017 110  0 21    3.71 99999.9 999.99 99.99     1
2017 110  0 22    2.77   453.3  14.01  5.76     1
2017 110  0 23    0.66   453.3  14.01  5.76     1
2017 110  0 24   -2.76   461.2  16.44  6.99     2
2017 110  0 25   -2.92   482.9  15.50  7.23     2
2017 110  0 26   -3.28   477.9  16.19  7.40     2
2017 110  0 27   -4.73   482.7  15.50  7.22     2
2017 110  0 28   -8.02   481.3  15.60  7.23     2
2017 110  0 29   -7.05   491.6  17.49  8.45     2
2017 110  0 30   -7.66   494.0  17.24  8.41     2
2017 110  0 31   -9.07   493.6  17.28  8.42     3
2017 110  0 32   -9.77   497.2  14.86  7.35     3
2017 110  0 33   -9.56   497.2  14.83  7.33     3
2017 110  0 34   -9.96   497.3  14.82  7.33     3
2017 110  0 35  -10.15   497.4  14.94  7.39     3
2017 110  0 36  -10.46   498.7  16.75  8.33     3
2017 110  0 37  -10.32   498.7  16.75  8.33     4
2017 110  0 38  -10.68 99999.9 999.99 99.99     3
2017 110  0 39  -10.76 99999.9 999.99 99.99     4
2017 110  0 40  -10.77   496.8  16.69  8.24     4
2017 110  0 41  -10.69   496.8  16.69  8.24     4
2017 110  0 42  -10.74 99999.9 999.99 99.99     4
2017 110  0 43  -10.78 99999.9 999.99 99.99     4
2017 110  0 44  -10.60   494.8  15.17  7.43     4
2017 110  0 45 9999.99   494.8  15.17  7.43     4
2017 110  0 46  -10.62 99999.9 999.99 99.99     4
2017 110  0 47  -10.63   493.4  16.08  7.83     4
2017 110  0 48  -10.87   494.3  15.93  7.78     4
2017 110  0 49  -10.83   493.8  15.97  7.79     4
2017 110  0 50  -10.46   498.3  15.81  7.85     4
2017 110  0 51   -8.68   501.0  15.69  7.88     3
2017 110  0 52   -7.86 99999.9 999.99 99.99     4
2017 110  0 53   -7.27   490.3  13.35  6.42     4
2017 110  0 54   -3.76   484.6  14.35  6.74     4
2017 110  0 55   -2.35   479.8  14.72  6.78     4
2017 110  0 56   -2.66   483.8  16.14  7.56     4
2017 110  0 57   -3.68   485.6  15.14  7.14     4
2017 110  0 58   -2.25   485.1  15.06  7.09     3
2017 110  0 59   -3.65   485.1  15.04  7.08     2
2017 110  1  0   -5.79 99999.9 999.99 99.99     2
2017 110  1  1   -7.61   483.0  17.45  8.14     1
2017 110  1  2   -6.99   483.0  17.45  8.14     1
2017 110  1  3   -8.29   473.2  15.80  7.08     0
2017 110  1  4   -7.56   473.1  16.23  7.27     0
2017 110  1  5   -7.96   473.9  16.57  7.44     0
2017 110  1  6   -9.36   476.6  15.71  7.14     0
2017 110  1  7  -10.02   473.1  14.92  6.68     0
2017 110  1  8   -9.43   479.5  16.05  7.38     0
2017 110  1  9   -8.68   476.5  17.00  7.72     0
2017 110  1 10   -6.61   483.0  16.43  7.67     0
2017 110  1 11   -7.46   482.8  15.62  7.28     0
2017 110  1 12   -9.19   483.9  15.70  7.35     0
2017 110  1 13   -8.26   481.7  15.99  7.42     0
2017 110  1 14   -8.21   480.9  15.28  7.07     0
2017 110  1 15   -8.70   478.7  15.64  7.17     1
2017 110  1 16   -9.58   480.0  15.41  7.10     1
2017 110  1 17   -9.42   481.0  15.73  7.28     1
2017 110  1 18   -4.71   483.1  15.55  7.26     1
2017 110  1 19   -9.29   489.6  13.68  6.56     2
2017 110  1 20   -7.07   485.6  15.43  7.28     2
2017 110  1 21   -7.83   493.3  15.52  7.55     3
2017 110  1 22   -4.89   502.4  13.09  6.61     4
2017 110  1 23   -5.35   479.6  15.41  7.09     4
2017 110  1 24   -5.46   479.6  15.41  7.09     5
2017 110  1 25   -3.69   486.6  16.07  7.61     6
2017 110  1 26   -6.63   482.8  16.37  7.63     7
2017 110  1 27   -3.16   486.0  18.56  8.77     7
2017 110  1 28   -2.21   487.3  19.28  9.16     9
2017 110  1 29   -0.60   485.7  20.00  9.44    10
2017 110  1 30   -0.06   484.1  19.09  8.95    10
2017 110  1 31    1.41   484.6  17.91  8.41    10
2017 110  1 32    2.59   483.7  16.43  7.69    11
2017 110  1 33   -1.52   486.6  17.17  8.13    11
2017 110  1 34   -0.31   503.5  17.30  8.77    11
2017 110  1 35   -0.06   501.5  18.05  9.08    10
2017 110  1 36   -0.40   486.2  18.78  8.88     9
2017 110  1 37   -0.54   483.3  17.47  8.16     8
2017 110  1 38   -1.11   496.2  17.13  8.44     7
2017 110  1 39   -2.54   487.4  19.15  9.10     6
2017 110  1 40    0.14   485.5  18.64  8.79     5
2017 110  1 41    0.67   485.5  18.66  8.80     3
2017 110  1 42    0.09   517.9  16.18  8.68     2
2017 110  1 43    1.44   517.9  16.18  8.68     1
2017 110  1 44    0.71 99999.9 999.99 99.99     0
2017 110  1 45    0.87 99999.9 999.99 99.99    -1
2017 110  1 46    1.44 99999.9 999.99 99.99    -2
2017 110  1 47   -1.10 99999.9 999.99 99.99    -3
2017 110  1 48   -1.45 99999.9 999.99 99.99    -4
2017 110  1 49   -0.73 99999.9 999.99 99.99    -4
2017 110  1 50    0.01   518.3  13.94  7.49    -5
2017 110  1 51    0.51   518.3  13.94  7.49    -5
2017 110  1 52   -0.73 99999.9 999.99 99.99    -5
2017 110  1 53    1.25 99999.9 999.99 99.99    -4
2017 110  1 54    1.54   518.3  15.73  8.45    -3
2017 110  1 55    2.59   518.3  15.73  8.45    -3
