Selected parameters:
 1 BZ, nT (GSM)
 2 Speed, km/s
 3 Proton Density, n/cc
 4 Flow pressure, nPa
 5 SYM/H, nT

YYYY DOY HR MN      1       2      3     4     5 
2017 196  0  0   -1.72   356.7   8.21  2.09     7
2017 196  0  1   -1.57   357.1   8.57  2.19     7
2017 196  0  2   -1.31   356.2   8.61  2.18     7
2017 196  0  3   -1.27   356.2   8.25  2.09     7
2017 196  0  4   -1.29   355.7   8.57  2.17     8
2017 196  0  5   -1.31   356.2   8.25  2.09     7
2017 196  0  6   -1.35   355.8   8.09  2.05     7
2017 196  0  7   -0.79   356.5   8.08  2.05     7
2017 196  0  8    0.16   356.1   8.09  2.05     7
2017 196  0  9    0.15   356.4   7.86  2.00     7
2017 196  0 10   -0.03   355.1   8.18  2.06     7
2017 196  0 11    0.05   355.1   8.18  2.06     7
2017 196  0 12    0.33   355.9   7.90  2.00     7
2017 196  0 13    0.53   354.9   7.64  1.92     7
2017 196  0 14    0.65   354.4   7.52  1.89     7
2017 196  0 15    0.62   353.8   7.01  1.75     7
2017 196  0 16    0.67   354.4   7.20  1.81     7
2017 196  0 17    0.65   354.6   7.60  1.91     7
2017 196  0 18    0.75   353.8   7.01  1.75     7
2017 196  0 19    0.82   353.8   7.01  1.75     8
2017 196  0 20    0.77   354.4   7.02  1.76     7
2017 196  0 21    0.85   354.4   7.02  1.76     7
2017 196  0 22    0.86   352.6   7.33  1.82     7
2017 196  0 23    0.73   352.6   7.33  1.82     6
2017 196  0 24    0.84 99999.9 999.99 99.99     6
2017 196  0 25    0.88   353.5   7.35  1.84     7
2017 196  0 26    0.89   353.5   7.35  1.84     6
2017 196  0 27    0.96   352.7   6.91  1.72     6
2017 196  0 28    0.99   352.7   6.91  1.72     6
2017 196  0 29    1.06   353.0   7.35  1.83     6
2017 196  0 30    1.05   352.3   6.76  1.68     6
2017 196  0 31    0.93   352.2   6.74  1.67     6
2017 196  0 32    0.67   352.7   6.88  1.71     6
2017 196  0 33    0.60   352.7   6.88  1.71     7
2017 196  0 34    0.61   351.5   7.42  1.83     7
2017 196  0 35    0.73   351.8   7.15  1.77     6
2017 196  0 36    0.74   351.0   6.76  1.67     7
2017 196  0 37    0.85   352.8   7.22  1.80     7
